MatchID,SeasonID,GradeID,Round,HomeTeamName,AwayTeamName,HomeClubEntityID,AwayClubEntityID,HomeTeamResultID,AwayTeamResultID,VenueName,VenueLat,VenueLong,MatchDate,ResultSummary,ScoreText,WasLiveScored,MatchStatusID
6848445,17,71374,4,VCC 1,Hermes-DVS 1,134465,134470,23852640,23852641,Sportpark Westvliet,52.0682,4.37525,2024-07-20 10:00:00,Hermes-DVS 1 won by 49 runs (DLS Method),VCC 1 144 def. by Hermes-DVS 1 193,False,60
6848468,17,71374,9,Hermes-DVS 1,Sparta 1,134470,134463,23852686,23852687,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-07-21 10:00:00,Hermes-DVS 1 won by 6 wickets (DLS Method),Hermes-DVS 1 230/4 def. Sparta 1 226/9,False,60
6848469,17,71374,9,VRA 1,HBS 1,134466,134457,23852688,23852689,Amsterdamse Bos,52.31898,4.85117,2024-07-21 10:00:00,HBS 1 won by 6 wickets (DLS Method),VRA 1 230/5 def. by HBS 1 231/4,False,60
6848470,17,71374,9,Punjab-Ghausia 1,Excelsior'20 1,134462,134456,23852690,23852691,Zomercomplex,51.86658,4.47821,2024-07-21 10:00:00,Punjab-Ghausia 1 won by 53 runs,Punjab-Ghausia 1 244 def. Excelsior'20 1 191,False,60
6848471,17,71374,9,ACC 1,VOC 1,134454,134464,23852692,23852693,Sportpark 't Loopveld,52.31912,4.8843,2024-07-21 10:00:00,VOC 1 won by 2 wickets,ACC 1 143/9 def. by VOC 1 144/8,False,60
6848472,17,71374,9,VCC 1,HCC 1,134465,134461,23852694,23852695,Sportpark Westvliet,52.0682,4.37525,2024-07-21 10:00:00,Match drawn,VCC 1  v HCC 1 ,False,60
7032935,17,71374,10,VCC 1,HBS 1,134465,134457,24307488,24307489,Sportpark Westvliet,52.0682,4.37525,2024-08-03 10:00:00,VCC 1 won by 100 runs,VCC 1 262/7 def. HBS 1 162,False,60
7032936,17,71374,10,VRA 1,Hermes-DVS 1,134466,134470,24307490,24307491,Amsterdamse Bos,52.31898,4.85117,2024-08-03 10:00:00,VRA 1 won by 4 wickets,VRA 1 168/6 def. Hermes-DVS 1 165,False,60
7032937,17,71374,10,HCC 1,Punjab-Ghausia 1,134461,134462,24307492,24307493,De Diepput,52.09602,4.32358,2024-08-03 10:00:00,HCC 1 won by 4 wickets,HCC 1 263/6 def. Punjab-Ghausia 1 261,False,60
7032938,17,71374,10,Sparta 1,ACC 1,134463,134454,24307851,24307510,Sportpark Bermweg,51.94436,4.58983,2024-08-03 10:00:00,Sparta 1 won by 10 wickets,Sparta 1 82/0 def. ACC 1 81,False,60
7032939,17,71374,10,VOC 1,Excelsior'20 1,134464,134456,24307496,24307852,Schiebroekse Park,51.97019,4.48035,2024-08-03 10:00:00,VOC 1 won by 7 wickets,VOC 1 73/3 def. Excelsior'20 1 72,False,60
7032940,17,71374,11,VCC 1,Hermes-DVS 1,134465,134470,24307499,24307500,Sportpark Westvliet,52.0682,4.37525,2024-08-04 10:00:00,VCC 1 won by 169 runs (DLS Method),VCC 1 333 def. Hermes-DVS 1 164,False,60
7032941,17,71374,11,HBS 1,HCC 1,134457,134461,24307501,24307502,Sportpark Craeyenhout,52.07404,4.24912,2024-08-04 10:00:00,HBS 1 won by 7 runs,HBS 1 227 def. HCC 1 220,False,60
7032942,17,71374,11,Punjab-Ghausia 1,VRA 1,134462,134466,24307503,24307504,Zomercomplex,51.86658,4.47821,2024-08-04 10:00:00,Punjab-Ghausia 1 won by 68 runs,Punjab-Ghausia 1 253 def. VRA 1 185,False,60
7032943,17,71374,11,Sparta 1,VOC 1,134463,134464,24307505,24307853,Sportpark Bermweg,51.94436,4.58983,2024-08-04 10:00:00,VOC 1 won by 15 runs,Sparta 1 191/9 def. by VOC 1 206,False,60
7032944,17,71374,11,Excelsior'20 1,ACC 1,134456,134454,24307854,24307855,Sportpark Thurlede,51.9327,4.39525,2024-08-04 10:00:00,Excelsior'20 1 won by 37 runs,Excelsior'20 1 243/4 def. ACC 1 206/9,False,60
7032948,17,71374,12,VOC 1,ACC 1,134464,134454,24307856,24307518,Schiebroekse Park,51.97019,4.48035,2024-08-10 10:00:00,VOC 1 won by 8 wickets,VOC 1 188/2 def. ACC 1 184/9,False,60
7032949,17,71374,12,Excelsior'20 1,Sparta 1,134456,134463,24307519,24307857,Sportpark Thurlede,51.9327,4.39525,2024-08-10 10:00:00,Sparta 1 won by 2 wickets,Excelsior'20 1 185/9 def. by Sparta 1 186/8,False,60
7032945,17,71374,12,HBS 1,VRA 1,134457,134466,24307511,24307512,Sportpark Craeyenhout,52.07404,4.24912,2024-08-11 10:00:00,VRA 1 won by 8 wickets,HBS 1 143 def. by VRA 1 149/2,False,60
7032946,17,71374,12,HCC 1,VCC 1,134461,134465,24307513,24307514,De Diepput,52.09602,4.32358,2024-08-11 10:00:00,HCC 1 won by 81 runs,HCC 1 195 def. VCC 1 114,False,60
7032947,17,71374,12,Hermes-DVS 1,Punjab-Ghausia 1,134470,134462,24307515,24307516,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-08-11 10:00:00,Hermes-DVS 1 won by 50 runs,Hermes-DVS 1 243/9 def. Punjab-Ghausia 1 193,False,60
7032950,17,71374,13,VCC 1,VRA 1,134465,134466,24307521,24307522,Sportpark Westvliet,52.0682,4.37525,2024-08-18 10:00:00,VRA 1 won by 90 runs,VCC 1 145 def. by VRA 1 235,False,60
7032951,17,71374,13,Punjab-Ghausia 1,HBS 1,134462,134457,24307523,24307524,Zomercomplex,51.86658,4.47821,2024-08-18 10:00:00,Punjab-Ghausia 1 won by 9 wickets,Punjab-Ghausia 1 156/1 def. HBS 1 152,False,60
7032952,17,71374,13,HCC 1,Hermes-DVS 1,134461,134470,24307525,24307526,De Diepput,52.09602,4.32358,2024-08-18 10:00:00,HCC 1 won by 6 wickets,HCC 1 186/4 def. Hermes-DVS 1 182,False,60
