season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
17,2024,76801,Qui Vive Premier League,QPL,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|EF|QF|GF1
17,2024,89596,T20I Tri-series,T20I Tri-series,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,80033,Tachyon Security Dutch Women's Super League,DWSL,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,71374,Topklasse,TK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|EF|QF|PF|GF
17,2024,80120,Topklasse Play Off,TKPO,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,71378,Topklasse Twenty20,TK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
17,2024,71399,Training Grade,TG,,,,Koninklijke Nederlandse Cricket Bond,1
17,2024,73940,Tweede Klasse,2e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
17,2024,75916,U11 HB,U11 HB,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|SF|GF
17,2024,75917,U11 HB WO,U11 HB WO,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,90325,U11 Indoor,U11-Indoor,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
17,2024,75915,U11 ZB,U11 ZB,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,75914,U13,U13,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|SF|GF
17,2024,90326,U13 Indoor,U13-Indoor,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
17,2024,75913,U15,U15,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|GF
17,2024,75988,U15 Extra,U15 Extra,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,73401,U15 Finales,,,,,Koninklijke Nederlandse Cricket Bond,
